03/16/2022 03:51:40 | train |  INFO | defaultdict(<function classification_metrics.<locals>.<lambda> at 0x000001647EC93E58>, {'1-chain': defaultdict(<class 'list'>, {'acc': [0.0488161747093522], 'pre': [0.005258696812966417], 'rec': [0.4528061224489796]}), '2-chain': defaultdict(<class 'list'>, {'acc': [0.07137178439056781], 'pre': [0.00858327603045099], 'rec': [0.463855421686747]}), '2-inter': defaultdict(<class 'list'>, {'acc': [0.031537902872638864], 'pre': [0.0063015676837234694], 'rec': [0.4883720930232558]}), '3-chain_inter': defaultdict(<class 'list'>, {'acc': [0.07137742292441038], 'pre': [0.008634579938409036], 'rec': [0.45323741007194246]}), '3-inter': defaultdict(<class 'list'>, {'acc': [0.03454444158845128], 'pre': [0.0063945593173913694], 'rec': [0.48549883990719256]}), '3-inter_chain': defaultdict(<class 'list'>, {'acc': [0.06347615398428627], 'pre': [0.007347305438514002], 'rec': [0.4679284963196635]}), '3-chain': defaultdict(<class 'list'>, {'acc': [0.9441441654257147], 'pre': [0.01179976402022472], 'rec': [0.0437192118226601]}), 'mean': defaultdict(<class 'list'>, {'acc': 0.18075257798506023, 'pre': 0.007759964177382858, 'rec': 0.4079167993257773}), 'weighted': defaultdict(<class 'list'>, {'acc': 0.25376759284235106, 'pre': 0.008048065974012685, 'rec': 0.3735775742436858})})
03/16/2022 03:57:52 | train |  INFO | Epoch loss: 4.404428482055664
03/16/2022 04:01:15 | train |  INFO | defaultdict(<function classification_metrics.<locals>.<lambda> at 0x000001647EC93DC8>, {'1-chain': defaultdict(<class 'list'>, {'acc': [0.04854562013272382], 'pre': [0.0062542202022931705], 'rec': [0.47831632653061223]}), '2-chain': defaultdict(<class 'list'>, {'acc': [0.06055789303742344], 'pre': [0.008370252022285902], 'rec': [0.4759036144578313]}), '2-inter': defaultdict(<class 'list'>, {'acc': [0.037889462656866636], 'pre': [0.0064257257238249], 'rec': [0.4883720930232558]}), '3-chain_inter': defaultdict(<class 'list'>, {'acc': [0.0634220113412692], 'pre': [0.008509109226472947], 'rec': [0.4520383693045564]}), '3-inter': defaultdict(<class 'list'>, {'acc': [0.040217509043925195], 'pre': [0.006364038176424262], 'rec': [0.478538283062645]}), '3-inter_chain': defaultdict(<class 'list'>, {'acc': [0.05664421967445119], 'pre': [0.007273577871973369], 'rec': [0.47003154574132494]}), '3-chain': defaultdict(<class 'list'>, {'acc': [0.9387738333788267], 'pre': [0.013107054880129808], 'rec': [0.03078817733990148]}), 'mean': defaultdict(<class 'list'>, {'acc': 0.1780072213236409, 'pre': 0.00804342544334348, 'rec': 0.41056977278001827}), 'weighted': defaultdict(<class 'list'>, {'acc': 0.2510636023152394, 'pre': 0.008407770808722344, 'rec': 0.37246738828753817})})
03/16/2022 04:06:54 | train |  INFO | Epoch loss: 3.8616299629211426
03/16/2022 04:10:06 | train |  INFO | defaultdict(<function classification_metrics.<locals>.<lambda> at 0x000001647EC93B88>, {'1-chain': defaultdict(<class 'list'>, {'acc': [0.04439254704766057], 'pre': [0.0062508828009285615], 'rec': [0.47831632653061223]}), '2-chain': defaultdict(<class 'list'>, {'acc': [0.06486176604123495], 'pre': [0.008497662698710249], 'rec': [0.46987951807228917]}), '2-inter': defaultdict(<class 'list'>, {'acc': [0.027417678145967416], 'pre': [0.0061993870651361905], 'rec': [0.48255813953488375]}), '3-chain_inter': defaultdict(<class 'list'>, {'acc': [0.0629366571756631], 'pre': [0.00905335273883757], 'rec': [0.46402877697841727]}), '3-inter': defaultdict(<class 'list'>, {'acc': [0.03045034092957988], 'pre': [0.006359472159845149], 'rec': [0.48259860788863107]}), '3-inter_chain': defaultdict(<class 'list'>, {'acc': [0.05597492870282046], 'pre': [0.007499529761004957], 'rec': [0.47423764458464773]}), '3-chain': defaultdict(<class 'list'>, {'acc': [0.9444483921406218], 'pre': [0.006026184182753211], 'rec': [0.025246305418719212]}), 'mean': defaultdict(<class 'list'>, {'acc': 0.17578318716907831, 'pre': 0.007126638772459413, 'rec': 0.4109807598583144}), 'weighted': defaultdict(<class 'list'>, {'acc': 0.2491702350493409, 'pre': 0.00693067632599272, 'rec': 0.3744102137107966})})
03/16/2022 04:15:36 | train |  INFO | Epoch loss: 3.477647066116333
03/16/2022 04:19:17 | train |  INFO | defaultdict(<function classification_metrics.<locals>.<lambda> at 0x000001647EC93E58>, {'1-chain': defaultdict(<class 'list'>, {'acc': [0.04984388504427499], 'pre': [0.006293259796197434], 'rec': [0.4770408163265306]}), '2-chain': defaultdict(<class 'list'>, {'acc': [0.07669294679302623], 'pre': [0.007798221322526171], 'rec': [0.4578313253012048]}), '2-inter': defaultdict(<class 'list'>, {'acc': [0.03446172431808668], 'pre': [0.0061230774831415044], 'rec': [0.47674418604651164]}), '3-chain_inter': defaultdict(<class 'list'>, {'acc': [0.07828164445617679], 'pre': [0.007901561183618783], 'rec': [0.4352517985611511]}), '3-inter': defaultdict(<class 'list'>, {'acc': [0.03792005404931682], 'pre': [0.006387162337729996], 'rec': [0.4796983758700696]}), '3-inter_chain': defaultdict(<class 'list'>, {'acc': [0.06907212335499666], 'pre': [0.00689216945117416], 'rec': [0.4605678233438486]}), '3-chain': defaultdict(<class 'list'>, {'acc': [0.9478389136841442], 'pre': [0.012409949441692842], 'rec': [0.03017241379310345]}), 'mean': defaultdict(<class 'list'>, {'acc': 0.18487304167143176, 'pre': 0.007686485859440127, 'rec': 0.40247239132034573}), 'weighted': defaultdict(<class 'list'>, {'acc': 0.25798816135536945, 'pre': 0.008069056873950247, 'rec': 0.36733277824035526})})
03/16/2022 04:24:22 | train |  INFO | Epoch loss: 3.1859960556030273
03/16/2022 04:28:05 | train |  INFO | defaultdict(<function classification_metrics.<locals>.<lambda> at 0x000001647EC93CA8>, {'1-chain': defaultdict(<class 'list'>, {'acc': [0.06398136591200991], 'pre': [0.0054874337317124535], 'rec': [0.4502551020408163]}), '2-chain': defaultdict(<class 'list'>, {'acc': [0.08185267127268514], 'pre': [0.007741823548529964], 'rec': [0.4578313253012048]}), '2-inter': defaultdict(<class 'list'>, {'acc': [0.03787907273273948], 'pre': [0.005936795277888464], 'rec': [0.46511627906976744]}), '3-chain_inter': defaultdict(<class 'list'>, {'acc': [0.0881238410505506], 'pre': [0.008023671241048455], 'rec': [0.4364508393285372]}), '3-inter': defaultdict(<class 'list'>, {'acc': [0.04342875538846935], 'pre': [0.006468983593115088], 'rec': [0.4814385150812065]}), '3-inter_chain': defaultdict(<class 'list'>, {'acc': [0.07274431242709795], 'pre': [0.006621868822776723], 'rec': [0.45320715036803366]}), '3-chain': defaultdict(<class 'list'>, {'acc': [0.9401520183969383], 'pre': [0.013438343754633972], 'rec': [0.046182266009852216]}), 'mean': defaultdict(<class 'list'>, {'acc': 0.18973743388292724, 'pre': 0.007674131424243588, 'rec': 0.3986402110284883}), 'weighted': defaultdict(<class 'list'>, {'acc': 0.2614206428885874, 'pre': 0.008169768780256324, 'rec': 0.36636136552872606})})
03/16/2022 04:33:28 | train |  INFO | Epoch loss: 3.040290117263794
